DL n=60
format = edgelist1
labels embedded:
data:

auto_5970 auto_11014 4
auto_7702 auto_10626 3
auto_7702 auto_10862 3
auto_7702 auto_3985 1
auto_7702 auto_6076 1
auto_7702 auto_6246 2
auto_7702 auto_7590 2
auto_7702 auto_7704 9
auto_7702 auto_916 1
auto_2353 auto_1025 6
auto_1177 auto_10590 2
auto_1177 auto_11014 2
auto_1177 auto_1371 1
auto_1177 auto_2149 2
auto_1177 auto_4873 4
auto_1177 auto_5568 4
auto_1177 auto_5902 1
auto_1177 auto_6057 5
auto_1177 auto_8177 5
auto_11014 auto_11013 19
auto_11014 auto_1177 2
auto_11014 auto_3452 1
auto_11014 auto_4724 2
auto_11014 auto_5970 4
auto_9687 auto_8177 8
auto_7590 auto_7702 2
auto_6763 auto_10626 3
auto_1440 auto_8177 29
auto_671 auto_2143 2
auto_6681 auto_6526 7
auto_2143 auto_2149 1
auto_2143 auto_671 2
auto_5524 auto_5699 4
auto_5524 auto_9880 2
auto_7588 auto_6526 1
auto_7588 auto_9880 12
auto_11013 auto_11014 19
auto_6246 auto_7702 2
auto_2149 auto_10590 2
auto_2149 auto_1177 2
auto_2149 auto_1232 1
auto_2149 auto_2143 1
auto_2149 auto_2147 58
auto_2149 auto_2151 3
auto_2149 auto_2163 1
auto_2149 auto_916 8
auto_2149 auto_9880 1
auto_1436 auto_8177 1
auto_294 auto_6303 1
auto_10626 auto_2642 2
auto_10626 auto_3160 5
auto_10626 auto_6763 3
auto_10626 auto_7702 3
auto_10626 auto_8381 1
auto_10626 auto_8471 2
auto_10626 auto_8566 1
auto_10626 auto_916 43
auto_10626 auto_919 3
auto_6526 auto_1025 6
auto_6526 auto_6681 7
auto_6526 auto_7588 1
auto_9880 auto_2149 1
auto_9880 auto_5524 2
auto_9880 auto_7588 12
auto_5568 auto_1177 4
auto_8177 auto_1177 5
auto_8177 auto_1436 1
auto_8177 auto_1438 10
auto_8177 auto_1440 29
auto_8177 auto_8181 7
auto_8177 auto_8413 1
auto_8177 auto_916 2
auto_8177 auto_9687 8
auto_5902 auto_1177 1
auto_5902 auto_734 1
auto_2642 auto_10626 2
auto_2642 auto_916 2
auto_6001 auto_916 19
auto_5802 auto_1025 6
auto_10862 auto_7702 3
auto_6280 auto_6279 4
auto_2151 auto_2149 3
auto_8471 auto_10626 2
auto_8471 auto_1333 1
auto_8471 auto_6303 13
auto_3985 auto_7702 1
auto_5699 auto_5524 4
auto_735 auto_734 6
auto_1371 auto_1177 1
auto_734 auto_5902 1
auto_734 auto_735 6
auto_1333 auto_8471 1
auto_2147 auto_2149 58
auto_2147 auto_916 6
auto_6278 auto_6279 2
auto_6303 auto_294 1
auto_6303 auto_6279 1
auto_6303 auto_8471 13
auto_10590 auto_1177 2
auto_10590 auto_2149 2
auto_10590 auto_916 5
auto_6057 auto_1177 5
auto_1438 auto_8177 10
auto_6076 auto_7702 1
auto_916 auto_10590 5
auto_916 auto_10626 43
auto_916 auto_2147 6
auto_916 auto_2149 8
auto_916 auto_2642 2
auto_916 auto_3160 5
auto_916 auto_6001 19
auto_916 auto_7702 1
auto_916 auto_8177 2
auto_8181 auto_8177 7
auto_2163 auto_2149 1
auto_8413 auto_8177 1
auto_4873 auto_1177 4
auto_3160 auto_10626 5
auto_3160 auto_916 5
auto_3452 auto_11014 1
auto_1025 auto_2353 6
auto_1025 auto_5802 6
auto_1025 auto_6526 6
auto_7704 auto_7702 9
auto_1232 auto_2149 1
auto_4724 auto_11014 2
auto_8566 auto_10626 1
auto_8381 auto_10626 1
auto_919 auto_10626 3
auto_6279 auto_6278 2
auto_6279 auto_6280 4
auto_6279 auto_6303 1
