Source,OrgName,BvD ID number,vatNumber,ISO code,NACE Rev. 2,NACE main section,Operating rev,No of employees
auto_10135,UNIVERSIDADE DO MINHO,PT502011378,PT502011378,PT,8542,P - Education,NaN,NaN
auto_10181,UNIVERSITA' DEGLI STUDI DI MODENA E REGGIO EMILIA,IT00427620364,NaN,IT,NaN,P - Education,NaN,NaN
auto_10231,UNIVERSITATEA TEHNICA DIN CLUJ-NAPOCA,RO4288306,NaN,RO,NaN,P - Education,NaN,NaN
auto_1025,AVL LIST GMBH,AT9030018903,ATU28752908,AT,2611,C - Manufacturing,2008552,NaN
auto_10386,V.O.F. WENHAO,NL67816096,NaN,NL,5610,I - Accommodation and food service activities,NaN,2
auto_10399,VALEO COMFORT AND DRIVING ASSISTANCE,FR017251067,FR27017251067,FR,7112,"M - Professional, scientific and technical activities",398889,814
auto_10401,VALEO EAUTOMOTIVE GMBH,DE2012656004,NaN,DE,2711,C - Manufacturing,855118,4003
auto_10403,VALEO EMBRAYAGES,FR438834186,NaN,FR,2932,C - Manufacturing,321401,907
auto_10412,"VALEO PYEONGHWA CO.,LTD",KR1701110035932,NaN,KR,2932,C - Manufacturing,569103,NaN
auto_10508,VERGE MOTORCYCLES OY,FI29069888,NaN,FI,2910,C - Manufacturing,14,10
auto_10559,VIGNAL SYSTEMS,FR450324868,NaN,FR,2740,C - Manufacturing,91929,NaN
auto_10590,VITESCO TECHNOLOGIES RODING GMBH,DE8230372618,NaN,DE,2932,C - Manufacturing,96726,145
auto_10626,VOLKSWAGEN AG,DE2070000543,NaN,DE,2910,C - Manufacturing,310607637,646837
auto_10647,VOLVO LASTVAGNAR AKTIEBOLAG,SE5560139700,NaN,SE,2910,C - Manufacturing,9478580,4729
auto_10652,VOLVO TRUCK INTERNATIONAL AB,SE5560617788,NaN,SE,NaN,NaN,NaN,NaN
auto_10679,VYSOKE UCENI TECHNICKE V BRNE,CZ00216305,CZ00216305,CZ,8542,P - Education,NaN,NaN
auto_10704,"WAGNER & CO. CERTIFIED PUBLIC ACCOUNTANTS, INC.",US183880434L,NaN,US,6920,"M - Professional, scientific and technical activities",2790,12
auto_10788,WESTFALIA-AUTOMOTIVE GMBH,DE4130130495,NaN,DE,2932,C - Manufacturing,229194,724
auto_10803,WHYLOT,FR530275874,NaN,FR,7112,"M - Professional, scientific and technical activities",4222,NaN
auto_10862,WOCO INDUSTRIETECHNIK GMBH,DE6090000019,NaN,DE,2219,C - Manufacturing,196396,467
auto_10928,"YANFENG PLASTIC OMNIUM AUTOMOTIVE EXTERIOR SYSTEMS CO., LTD.",CN9360004158,NaN,CN,NaN,NaN,1048795,836
auto_10945,"YUPITERUKAGOSHIMA, KK",JP7340001008068,NaN,JP,2630,C - Manufacturing,24723,70
auto_11013,"ZF DRIVETECH (SUZHOU) CO., LTD.",CN9360001248,NaN,CN,2932,C - Manufacturing,58950,NaN
auto_11014,ZF FRIEDRICHSHAFEN AG,DE8210000084,DE145374190,DE,2815,C - Manufacturing,48550542,162614
auto_11023,ZHOU JUNMIAO,ITZHOJNM96R47Z210O,NaN,IT,NaN,NaN,NaN,NaN
auto_11082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1121,BAKKER HOLDING SON B.V.,NL17054831,NaN,NL,6420,K - Financial and insurance activities,NaN,57
auto_11277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1146,"BASF (CHINA) CO., LTD.",CN9361213690,NaN,CN,6619,K - Financial and insurance activities,3635663,NaN
auto_11483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1149,BASF SE,DE7150000030,DE149145247,DE,2059,C - Manufacturing,94690569,111481
auto_11510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1167,BAUMERT & DABERGOTZ GMBH,DE2190096145,NaN,DE,2529,C - Manufacturing,1472,15
auto_1177,BAYERISCHE MOTOREN WERKE AG,DE8170003036,NaN,DE,2910,C - Manufacturing,153039961,149475
auto_1192,BCS AUTOMOTIVE INTERFACE SOLUTIONS ITALY S.R.L.,IT11795700019,NaN,IT,2932,C - Manufacturing,35460,163
auto_1232,BENECKE-KALIKO AKTIENGESELLSCHAFT,DE2190127409,NaN,DE,2229,C - Manufacturing,NaN,1452
auto_1333,"BJOERKMAN, MATHIAS",SE9001095653,NaN,SE,4332,F - Construction,0,0
auto_1371,BMW BRILLIANCE AUTOMOTIVE LTD.,CN9360002644,NaN,CN,NaN,NaN,28922486,19000
auto_1422,BORGWARNER FRANCE SAS,FR440156081,NaN,FR,2811,C - Manufacturing,362736,1202
auto_1434,"BOSCH CAR MULTIMEDIA PORTUGAL, S.A.",PT502315407,NaN,PT,2640,C - Manufacturing,1414312,3570
auto_1436,BOSCH CORPORATION,JP7011001012340,NaN,JP,2932,C - Manufacturing,2551293,5078
auto_1438,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,IN0006704774,NaN,IN,6201,J - Information and communication,1236960,NaN
auto_1440,BOSCH LIMITED,IN30051FI,NaN,IN,2932,C - Manufacturing,1816427,6211
auto_1465,BRANO A.S.,CZ45193363,NaN,CZ,2932,C - Manufacturing,221679,NaN
auto_1515,BRP-ROTAX GMBH & CO KG,AT9070119974,ATU53018309,AT,2811,C - Manufacturing,1414058,1404
auto_1548,BUEHLER MOTOR GMBH,DE8190009649,NaN,DE,2711,C - Manufacturing,294466,1373
auto_161,ACTRONIKA,FR803040138,FR05803040138,FR,7410,"M - Professional, scientific and technical activities",NaN,NaN
auto_1764,CEBI ITALY S.P.A.,IT03019880040,NaN,IT,2932,C - Manufacturing,227573,662
auto_1771,CEIIA - CENTRO DE ENGENHARIA E DESENVOLVIMENTO (ASSOCIACAO),PT504689878,PT504689878,PT,7219,"M - Professional, scientific and technical activities",NaN,NaN
