DL n=29
format = edgelist1
labels embedded:
data:

auto_6319 auto_2067 9
auto_6319 auto_6611 1
auto_6436 auto_2067 2
auto_5374 auto_2067 1
auto_6611 auto_11343 1
auto_6611 auto_11389 2
auto_6611 auto_11651 4
auto_6611 auto_1417 2
auto_6611 auto_2067 1462
auto_6611 auto_6319 1
auto_6611 auto_6439 1
auto_6611 auto_6454 1
auto_6611 auto_9633 3
auto_6611 auto_9691 1
auto_5954 auto_2067 1
auto_5954 auto_2208 1
auto_11637 auto_11642 1
auto_11637 auto_2067 1
auto_11580 auto_2067 1
auto_11642 auto_11637 1
auto_11642 auto_2067 1
auto_11343 auto_2067 1
auto_11343 auto_6611 1
auto_10824 auto_2067 1
auto_2208 auto_2067 1
auto_2208 auto_5954 1
auto_1969 auto_2067 2
auto_9633 auto_2067 3
auto_9633 auto_6611 3
auto_5506 auto_11643 1
auto_5506 auto_2067 2
auto_5506 auto_3754 1
auto_6454 auto_2067 1
auto_6454 auto_6611 1
auto_11651 auto_2067 4
auto_11651 auto_6611 4
auto_9691 auto_2067 1
auto_9691 auto_6611 1
auto_8347 auto_2067 13
auto_8347 auto_8355 14
auto_8347 auto_8362 14
auto_8362 auto_2067 13
auto_8362 auto_8347 14
auto_8362 auto_8355 29
auto_11389 auto_6611 2
auto_11643 auto_2067 3
auto_11643 auto_3754 1
auto_11643 auto_5506 1
auto_3754 auto_11643 1
auto_3754 auto_2067 1
auto_3754 auto_5506 1
auto_8355 auto_2067 13
auto_8355 auto_8347 14
auto_8355 auto_8362 29
auto_732 auto_2067 2
auto_1417 auto_2067 2
auto_1417 auto_6611 2
auto_2067 auto_10824 1
auto_2067 auto_11343 1
auto_2067 auto_11580 1
auto_2067 auto_11637 1
auto_2067 auto_11642 1
auto_2067 auto_11643 3
auto_2067 auto_11651 4
auto_2067 auto_1417 2
auto_2067 auto_1915 2
auto_2067 auto_1969 2
auto_2067 auto_2208 1
auto_2067 auto_3754 1
auto_2067 auto_5374 1
auto_2067 auto_5405 1
auto_2067 auto_5506 2
auto_2067 auto_5954 1
auto_2067 auto_6319 9
auto_2067 auto_6436 2
auto_2067 auto_6439 3
auto_2067 auto_6454 1
auto_2067 auto_6611 1462
auto_2067 auto_732 2
auto_2067 auto_8347 13
auto_2067 auto_8355 13
auto_2067 auto_8362 13
auto_2067 auto_9633 3
auto_2067 auto_9691 1
auto_5405 auto_2067 1
auto_1915 auto_2067 2
auto_6439 auto_2067 3
auto_6439 auto_6611 1
