Source,Weight,orgName,BvD ID number,ISO code,NACE Rev. 2,NACE main section,Operating rev,No of employees
auto_10179,12,UNIVERSITA' DEGLI STUDI DI MILANO - BICOCCA,IT12621570154,IT,8542,P - Education,,
auto_10578,3,VISPIRON GMBH,DE8350254012,DE,8299,N - Administrative and support service activities,53588,445
auto_10626,10,VOLKSWAGEN AG,DE2070000543,DE,2910,C - Manufacturing,310607637,646837
auto_10824,1,WILSON GRAIN LLC,US174688545L,US,4621,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,530,2
auto_11094,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11208,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11343,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11389,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1149,10,BASF SE,DE7150000030,DE,2059,C - Manufacturing,94690569,111481
auto_11565,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11580,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11593,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11637,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11642,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11643,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11648,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11651,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_11656,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
auto_1177,1,BAYERISCHE MOTOREN WERKE AG,DE8170003036,DE,2910,C - Manufacturing,153039961,149475
auto_1243,2,BENTLEY MOTORS LIMITED,GB00992897,GB,2910,C - Manufacturing,3506477,3985
auto_1271,2,BESTE S.P.A.,IT01629440973,IT,1390,C - Manufacturing,55188,205
auto_1341,2,BLICKLE RAEDER + ROLLEN GMBH U. CO. KG,DE7270011158,DE,2815,C - Manufacturing,,870
auto_1392,5,BOHNENKAMP AG,DE2310020512,DE,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,334360,250
auto_1417,4,"BORDELON MANAGEMENT, LLC",US129161269L,US,4520,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,470,44
auto_1433,12,BOSCH AUTOMOTIVE SERVICE SOLUTIONS LLC,US294596339L,US,4520,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,140,6
auto_1438,1,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,IN0006704774,IN,6201,J - Information and communication,1236960,
auto_1440,4,BOSCH LIMITED,IN30051FI,IN,2932,C - Manufacturing,1816427,6211
auto_1479,3,BRIDGESTONE CORPORATION,JP3010001034943,JP,2211,C - Manufacturing,31862125,129262
auto_1480,2,BRIDGESTONE EUROPE NV/SA,BE0441192820,BE,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,4782857,384
auto_1481,2,BRIDGESTONE MOBILITY SOLUTIONS B.V.,NL61185787,NL,6201,J - Information and communication,,103
auto_1865,2,CESKE VYSOKE UCENI TECHNICKE V PRAZE,CZ68407700,CZ,8542,P - Education,217635,
auto_19,5,3DEFACTO GMBH,DE6050231366,DE,2800,C - Manufacturing,,71
auto_1915,2,CHRISTOPHER MAST,US273343487L,US,,NaN,,
auto_1969,2,CLARENCE HAIR,US163024953L,US,142,"A - Agriculture, forestry and fishing",360,2
auto_1999,6,"CNH (CHINA) MANAGEMENT CO., LTD.",CN9367123413,CN,4661,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,317060,198
auto_2005,6,CNH INDUSTRIAL ITALIA S.P.A.,IT00370290363,IT,2830,C - Manufacturing,3984471,4429
auto_2007,6,CNH INDUSTRIAL N.V,NL56532474,NL,2830,C - Manufacturing,23473000,40070
auto_2067,1547,COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,FR855200887,FR,2211,C - Manufacturing,30519678,132200
auto_2143,2,CONTI TEMIC MICROELECTRONIC GMBH,DE8190130779,DE,7490,"M - Professional, scientific and technical activities",,3000
auto_2147,280,CONTINENTAL AUTOMOTIVE FRANCE,FR314722026,FR,7219,"M - Professional, scientific and technical activities",481713,1575
auto_2149,283,CONTINENTAL AUTOMOTIVE GMBH,DE2190399628,DE,2931,C - Manufacturing,,90000
auto_2151,1,CONTINENTAL AUTOMOTIVE SINGAPORE PTE. LTD.,SG199708326N,SG,7219,"M - Professional, scientific and technical activities",163597,
auto_2160,11,CONTINENTAL REIFEN DEUTSCHLAND GMBH,DE2190563260,DE,2211,C - Manufacturing,,3
auto_2163,2,CONTINENTAL TEVES AG & CO. OHG,DE6070206503,DE,7010,"M - Professional, scientific and technical activities",,5800
auto_2208,2,CORNELL UNIVERSITY,US*B000096285,US,8541,P - Education,,
auto_2226,1,COVESTRO AG,DE5330324269,DE,2014,C - Manufacturing,19309717,17985
auto_2227,1,COVESTRO DEUTSCHLAND AG,DE5330180647,DE,2016,C - Manufacturing,8074103,6839
auto_2228,3,COVESTRO INTELLECTUAL PROPERTY GMBH & CO. KG,DE5330360758,DE,7740,N - Administrative and support service activities,,1
auto_2444,1,DEERE & CO,US362382580,US,2830,C - Manufacturing,52179000,82200
auto_2511,4,DEUTSCHES INSTITUT FUER KAUTSCHUKTECHNOLOGIE E. V.,DE2190094951,DE,7219,"M - Professional, scientific and technical activities",,75
auto_2783,1,EASYFILL APS,DK38226673,DK,4531,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,
auto_353,2,AIRBUS,FR383474814,FR,3030,C - Manufacturing,54331593,
auto_356,6,AIRBUS DEFENCE AND SPACE GMBH,DE8330176530,DE,2511,C - Manufacturing,4797564,11431
auto_368,18,AIRBUS OPERATIONS,FR420916918,FR,3030,C - Manufacturing,12327757,15087
auto_369,33,AIRBUS OPERATIONS GMBH,DE2150398592,DE,3030,C - Manufacturing,9938568,18783
auto_370,37,AIRBUS OPERATIONS LIMITED,GB03468788,GB,3030,C - Manufacturing,4967187,7097
auto_3754,3,FRANK GRAMLING,US130936447L,US,6910,"M - Professional, scientific and technical activities",1490,4
auto_3781,4,FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG EINGETRAGENER VEREIN,DE8170003303,DE,7210,"M - Professional, scientific and technical activities",3062670,30350
auto_3943,1,GAPI TECHNISCHE PRODUKTE GMBH,DE5190507630,DE,2229,C - Manufacturing,13530,78
auto_4173,7,GOODYEAR TIRE & RUBBER CO,US340253240,US,2211,C - Manufacturing,20805000,74000
auto_4183,4,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAT HANNOVER,DE*110191344597,DE,8541,P - Education,,
auto_4481,2,HENKEL AG & CO. KGAA,DE5050001329,DE,2041,C - Manufacturing,24115814,51200
